pmid,citation_count,relative_citation_ratio,nih_percentile,openalex_journal_name,openalex_2yr_mean_citedness
42070008,1,,,Pediatric Research,2.280159080866107
42069416,0,,,PubMed,0.5101321945381352
42068900,0,,,Journal of Psychosomatic Research,1.7310215557638238
42066215,0,,,Journal of Cardiopulmonary Rehabilitation and Prevention,1.6201923076923077
42065101,0,,,EClinicalMedicine,11.039095907147221
42065099,0,,,EClinicalMedicine,11.039095907147221
42063762,0,,,Frontiers in Medicine,2.3192314174953648
42063202,2,,,Pilot and Feasibility Studies,1.4740406320541761
42061273,0,,,Journal of Psychosomatic Research,1.7310215557638238
42060826,0,,,Journal of Extracellular Vesicles,18.472616632860042
42059960,0,,,Journal of Neurology,4.297013274336283
42059350,0,,,The Laryngoscope,1.6517857142857142
42058732,0,,,Digital Health,3.6322773972602738
42057113,0,,,BMC Health Services Research,3.4895074000441793
42056917,0,,,BMC Infectious Diseases,2.809686495176849
42056279,0,,,Communications Medicine,5.079787234042553
42055743,0,,,The Annals of Family Medicine,1.4231404958677687
42055452,0,,,,
42055117,0,,,Canadian Journal of Cardiology,1.070791819611956
42053865,2,,,Acta Neuropathologica,10.28388746803069
42052603,0,,,PubMed,0.5101321945381352
42052381,0,,,Frontiers in Aging Neuroscience,4.375560538116592
42052332,1,,,Medical Hypotheses,0.8530405405405406
42051540,0,,,Frontiers in Immunology,5.004082326926348
42051331,0,,,Frontiers in Digital Health,4.485331098072087
42046721,0,,,Clinical ophthalmology,2.0098360655737704
42046713,0,,,PeerJ,3.037060433775532
42045916,0,,,Respiratory Research,5.172294372294372
42045807,0,,,Arthritis & Rheumatology,3.5807814149947204
42043742,0,,,Sports Medicine - Open,6.22020725388601
42043637,0,,,Journal of Clinical Immunology,3.452970297029703
42043629,0,,,European Journal of Pediatrics,2.4442604856512142
42043604,0,,,European Journal of Pediatrics,2.4442604856512142
42043247,0,,,Viruses,3.9637342068320076
42042830,0,,,Vaccines,3.8970497848801475
42041818,0,,,Brain Sciences,3.611967361740707
42041633,0,,,Diseases,3.4692622950819674
42041273,0,,,Advances in respiratory medicine,2.6621621621621623
42040552,0,,,Frontiers in Medicine,2.3192314174953648
42040088,0,,,Frontiers in Public Health,3.205230031470103
42039370,0,,,Frontiers in Human Neuroscience,3.1730103806228374
42039182,0,,,Frontiers in Immunology,5.004082326926348
42037238,0,,,Endocrine Reviews,19.285714285714285
42036992,0,,,Journal of Cerebral Blood Flow & Metabolism,3.778409090909091
42035205,0,,,Stem Cell Research & Therapy,6.63897972531066
42034234,0,,,NeuroImage,3.7681438664097624
42032661,0,,,Cost Effectiveness and Resource Allocation,2.1546762589928057
42030311,0,,,PLoS ONE,2.869423026942736
42029517,0,,,Journal of Functional Morphology and Kinesiology,2.200394866732478
42028925,0,,,Journal of Immunology Research,2.63855421686747
42028736,0,,,Monaldi Archives for Chest Disease,0.6676923076923077
42028070,0,,,Neuropsychiatric Disease and Treatment,2.7255244755244754
42026739,0,,,Physiological Reports,2.0295639320029566
42026280,0,,,European Archives of Oto-Rhino-Laryngology,2.1115071283095723
42024943,0,,,IEEE Journal of Biomedical and Health Informatics,4.830173457039129
42024184,0,,,Wiener Medizinische Wochenschrift,0.837037037037037
42023638,0,,,Otolaryngologia Polska,1.2258064516129032
42022621,0,,,Health Science Reports,2.399563998754282
42022303,0,,,PubMed,0.5101321945381352
42021271,0,,,Journal of Translational Medicine,7.425094645754462
42021247,0,,,Respiratory Research,5.172294372294372
42020802,0,,,Pediatric Research,2.280159080866107
